Categoria,Voce,Costo stimato USD,Pagamento,Link utile,Note
Parchi,America the Beautiful Non-Resident Annual Pass,250 gruppo,Una volta sola,https://www.nps.gov/planyourvisit/passes.htm,Per 3 italiani conviene rispetto a pagare Grand Canyon + Zion separati.
Parchi,Grand Canyon South Rim,Coperto dal pass,Pass,https://www.nps.gov/grca/planyourvisit/fees.htm,"Se non avete pass, controllare fee/surcharge non residenti."
Parchi,Zion National Park,Coperto dal pass,Pass,https://www.nps.gov/zion/planyourvisit/fees.htm,Shuttle incluso/gestione parco secondo stagione.
Page,Horseshoe Bend parking,10 auto circa,Carta/contanti secondo regole locali,https://cityofpage.org/official-horseshoe-bend-information,Non coperto dal pass NPS.
Page,Lower/Upper Antelope Canyon,80-120+ a persona,Online,https://navajonationparks.org/guided-tour-operators/antelope-canyon-tour-operators/,"Tour guidato obbligatorio, prenotare prima."
San Francisco,Alcatraz Day Tour,47.95 a persona circa,Online,https://www.cityexperiences.com/san-francisco/city-cruises/alcatraz/tour-options/,Prenotare presto.
Los Angeles,Warner Bros Studio Tour,70-80 circa,Online,https://www.wbstudiotour.com/,Opzionale ma consigliato dalla guida.
Los Angeles,Parcheggi LA,20+ al giorno possibile,Carta/app,https://www.bestparking.com/,Da usare per Santa Monica/Venice/Hollywood/Downtown.
Las Vegas,Sphere,0 fuori / ticket variabile,Online,https://www.thesphere.com/shows,Da fuori gratis; evento/film a pagamento.
Las Vegas,Neon Museum,20-30 circa,Online,https://www.neonmuseum.org/,Opzionale.
Trasporti,Benzina roadtrip,Da calcolare,Carta,https://www.gasbuddy.com/,Stimare dopo scelta auto.
Varie,Mance / parcheggi / acqua,Buffer,Carta/cash,,"Tenere buffer per caldo, acqua, parcheggi e snack."
