Categoria,Nome,Link,Note
Planner,Google Maps route completa,"https://www.google.com/maps/dir/San+Francisco,+CA/Santa+Barbara,+CA/Los+Angeles,+CA/Las+Vegas,+NV/Grand+Canyon+Village,+AZ/Page,+AZ/Zion+National+Park,+UT/Salt+Lake+City,+UT",Route base del viaggio.
Parcheggi,BestParking,https://www.bestparking.com/,Utile soprattutto a Los Angeles.
San Francisco,Alcatraz City Cruises,https://www.cityexperiences.com/san-francisco/city-cruises/alcatraz/tour-options/,Biglietti ufficiali Alcatraz.
San Francisco,SFMOMA,https://www.sfmoma.org/visit/,Museo opzionale.
San Francisco,De Young Museum,https://www.famsf.org/visit/de-young,Museo/torre osservazione opzionale.
San Francisco,Golden Gate Park,https://sfrecpark.org/770/Golden-Gate-Park,Parco grande: scegliere solo una zona.
Los Angeles,Warner Bros Studio Tour,https://www.wbstudiotour.com/,Tour consigliato dalla guida se interessati a cinema/backstage.
Los Angeles,Griffith Observatory,https://griffithobservatory.org/,"Vista, museo, Hollywood sign da lontano."
Los Angeles,Santa Monica Pier,https://www.santamonica.com/places-to-go/santa-monica-pier/,Santa Monica/Venice cluster.
Las Vegas,Sphere,https://www.thesphere.com/shows,Show e biglietti Sphere.
Las Vegas,Fremont Street Experience,https://vegasexperience.com/,Viva Vision e Fremont.
Las Vegas,Bellagio Fountains,https://bellagio.mgmresorts.com/en/entertainment/fountains-of-bellagio.html,Show gratuito fontane.
Las Vegas,The Neon Museum,https://www.neonmuseum.org/,Opzionale Las Vegas.
Parchi,America the Beautiful Pass,https://www.nps.gov/planyourvisit/passes.htm,Pass parchi USA.
Parchi,Grand Canyon South Rim,https://www.nps.gov/grca/planyourvisit/south-rim.htm,Info ufficiali South Rim.
Parchi,Grand Canyon shuttle,https://www.nps.gov/grca/planyourvisit/shuttle-buses.htm,Info shuttle viewpoint.
Page,Horseshoe Bend,https://cityofpage.org/official-horseshoe-bend-information,Info parcheggio e visita.
Page,Navajo Antelope operators,https://navajonationparks.org/guided-tour-operators/antelope-canyon-tour-operators/,Elenco operatori autorizzati.
Page,Lower Antelope Canyon,https://www.antelopelowercanyon.com/,Una delle opzioni pratiche.
Page,Upper Antelope Navajo Tours,https://navajotours.com/,Una delle opzioni pratiche.
Zion,Zion official,https://www.nps.gov/zion/index.htm,Info parco.
Zion,Zion shuttle,https://www.nps.gov/zion/planyourvisit/zion-canyon-shuttle-system.htm,Info shuttle.
Zion,Canyon Overlook Trail,https://www.nps.gov/thingstodo/hike-canyon-overlook.htm,Mini-hike consigliata.
Zion,Riverside Walk,https://www.nps.gov/thingstodo/hike-riverside-walk.htm,Passeggiata facile.
Auto,Patente internazionale ACI,https://www.aci.it/i-servizi/guide-utili/guida-allestero/patente-internazionale.html,Verifica patente internazionale.
