Cosa prenotare,Per quando,Priorità,Costo stimato USD,Link utile,Stato,Note
Alcatraz Day Tour,2026-07-05,Alta se volete farlo,47.95 a persona circa,https://www.cityexperiences.com/san-francisco/city-cruises/alcatraz/tour-options/,Da decidere,In estate meglio prenotare prima.
Alloggio San Francisco,2026-07-04 / 2026-07-05,Alta,,,Da fare,Due notti.
Alloggio Santa Barbara,2026-07-06,Alta,,,Da fare,Una notte.
Alloggio Los Angeles,2026-07-07,Alta,,,Da fare,Scegliere zona comoda per partenza verso Las Vegas.
Alloggio Las Vegas,2026-07-08,Alta,,,Da fare,Valutare parcheggio/resort fee.
Alloggio Grand Canyon/Tusayan,2026-07-09,Molto alta,,,Da fare,Guida consiglia di dormire più vicino possibile al canyon.
Antelope Canyon tour,2026-07-10,Molto alta,80-120+ a persona circa,https://navajonationparks.org/guided-tour-operators/antelope-canyon-tour-operators/,Da fare,Prenotare slot e arrivare in anticipo.
Alloggio Page,2026-07-10,Alta,,,Da fare,Base per Antelope/Horseshoe Bend.
Alloggio Zion/Springdale/Hurricane,2026-07-11,Alta,,,Da fare,"Springdale più comoda, Hurricane/La Verkin più economiche."
Sphere / show Las Vegas,2026-07-08,Media,variabile,https://www.thesphere.com/shows,Opzionale,Da fuori gratis; dentro solo con biglietto.
Warner Bros Studio Tour,2026-07-07,Media,70-80 circa,https://www.wbstudiotour.com/,Opzionale,Solo se volete sacrificare parte del giro LA.
Akhob James Turrell,2026-07-08,Bassa,0 ma booking obbligatorio,https://www.louisvuitton.com/eng-us/stories/akhob,Opzionale,Se vi interessa arte e trovate slot.
